statCd,statCdCntnKor1,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
GB,영국,0.4796179340116215,0.602111506108617,0.7386458767322241,0.8300473477842717,1.0,1.3513058280086545,1.4244544556627197,1.8293990413631178,2.4802276275878716,3.392848706437248
GR,그리스,0.5612368145583381,0.6632847518587112,0.6536937130382657,1.016166984280359,1.0,,,0.01771479185119575,0.0,0.0
GT,과테말라,1.3643623959064914,0.5226581050800977,0.6628005752315976,0.747185712852413,1.0,1.017256947928163,1.0175780074245009,1.210260526403799,1.1809036487074012,1.4155446306143606
GU,괌,0.6904865173348552,0.7613011841917534,0.8267056641460979,0.9302839206734199,1.0,0.9737737195034956,0.9997175060636325,0.9127036667142245,1.1464431445284633,1.1508232272792125
HK,홍콩,1.033783787569054,0.9776937198776704,0.9404998731101678,1.0545713112453523,1.0,1.4443328984158659,1.3770303073422994,1.5517858973576102,1.2582311725460822,1.0709339371758078
ID,인도네시아,0.1347060140722374,0.47624539735109844,0.5669681971175241,0.7977244032941533,1.0,0.5647129388139706,0.547370359801031,0.6543329897401277,0.36422872453671273,0.47489367841379165
IE,아일랜드,0.8107953766732149,0.8623509525332359,0.6067202704554799,1.3382977751381973,1.0,1.3616656768239754,1.6341998263968203,1.9697108136506922,3.7867421992781765,6.745420074009776
IL,이스라엘,0.3369550576931711,0.514322273604813,0.4082745925560095,0.40360526197638397,1.0,2.379607596641674,4.307569703228124,3.6766937547703495,5.323194001706102,8.138351367126116
IN,인도,0.10372561500730146,0.07552795147339648,0.24062511701052158,0.6777567678885685,1.0,1.1516521885647957,1.3625154453888493,2.1102679072902237,2.607778859475044,3.374891414235968
IT,이탈리아,0.5939255863360635,0.6984527436893747,0.7297053643809577,0.965113353646605,1.0,1.490348866463534,2.3448271042406286,2.1436348642831184,3.101878511726721,3.6544810331814497
JO,요르단,0.3125961135188033,0.2183233142271308,0.20765180110909176,0.1910154247635025,1.0,2.938091243767184,4.562351460925486,2.8651614707115893,4.388648119670068,5.886038492008015
JP,일본,0.5355988972146724,0.5816542111904035,0.7591020561962372,0.9344271411180527,1.0,1.5424480431619239,1.930385171865653,1.9122112497465988,1.9633509792541985,2.275643109884503
KG,키르기스스탄,1.1969099276791584,0.7960064473712116,1.1207079383258043,1.2733133973828763,1.0,2.552830268711162,2.616370808678501,4.099658543827278,7.059320056838668,9.657250111344403
KH,캄보디아,0.47297962146295586,0.1554376203614133,0.5543250879508881,1.1143725744020425,1.0,2.09805517680269,2.2892111447480574,2.6365177965571047,1.0483886426107836,1.0120032356214834
KI,키리바티,0.5752450532724506,0.7673911719939117,0.931945205479452,1.0660943683409436,1.0,0.9966270928462709,1.5295342465753425,1.6801826484018265,2.5629345509893455,4.724164383561644
